ID,TeamName,BatsmanName,Wicket_Information,Outby_BowlerCatch,Outby_FielderCatch,Outby_Bowled,Outby_LBW,Outby_Runout,Player_RetiredHurt,Player_NotOut,Runs_Scored,Balls_Faced,Fours_hit,Sixes_hit,Strike_Rate,Season/Year,scoreboard_url
1,Kolkata Knight Riders,Sourav Ganguly,c Kallis b Khan,,1,,,,,,10,12,2,0,83.33,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
2,Kolkata Knight Riders,Brendon McCullum,not out,,,,,,,1,158,73,10,13,216.43,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
3,Kolkata Knight Riders,Ricky Ponting,c Kumar b Kallis,,1,,,,,,20,20,1,1,100,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
4,Kolkata Knight Riders,David Hussey,c White b Noffke,,1,,,,,,12,12,1,0,100,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
5,Kolkata Knight Riders,Mohammad Hafeez,not out,,,,,,,1,5,3,1,0,166.66,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
6,Chennai Super Kings,Parthiv Patel,c  Sangakkara b Lee,,1,,,,,,15,10,3,0,150,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
7,Chennai Super Kings,Matthew Hayden,b Pathan,,,1,,,,,25,17,4,1,147.05,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
8,Chennai Super Kings,Michael Hussey,not out,,,,,,,1,116,54,8,9,214.81,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
1115,Delhi Daredevils,Kedar Jadhav,not out,,,,,,,1,50,29,5,2,172.41,2009-10,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/royal-challengers-bangalore-vs-delhi-daredevils-20th-match-419128/full-scorecard
10,Chennai Super Kings,Suresh Raina,c Pathan b Mota,,1,,,,,,32,13,2,3,246.15,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
