scoreboard_id,team_name,bowler_names,overs_bowled,maiden_oversbowled,runs_given,wickets_taken,Economy,dotballs,scoreboard_url
1,Royal Challengers Bangalore,Praveen Kumar,4,0,38,0,9.5,13,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
2,Royal Challengers Bangalore,Zaheer Khan,4,0,38,1,9.5,8,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
3,Royal Challengers Bangalore,Ashley Noffke,4,0,40,1,10,7,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
4,Royal Challengers Bangalore,Jacques Kallis,4,0,48,1,12,9,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
5,Royal Challengers Bangalore,Sunil Joshi,3,0,26,0,8.66,4,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
6,Royal Challengers Bangalore,Cameron White,1,0,24,0,24,0,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
7,Kings XI Punjab,Brett Lee,4,0,35,1,8.75,12,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
8,Kings XI Punjab,Sreesanth,3,0,35,0,11.66,5,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
9,Kings XI Punjab,James Hopes,4,0,53,1,13.25,8,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
10,Kings XI Punjab,Irfan Pathan,4,0,47,2,11.75,6,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
11,Kings XI Punjab,Karan Goel,2,0,25,0,12.5,2,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
12,Kings XI Punjab,Piyush Chawla,1,0,19,0,19,1,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
13,Kings XI Punjab,Wilkin Mota,2,0,24,1,12,2,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
14,Delhi Daredevils,Glenn McGrath,4,1,21,1,5.25,16,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-rajasthan-royals-3rd-match-335984/full-scorecard
15,Delhi Daredevils,Brett Geeves,4,0,41,0,10.25,8,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-rajasthan-royals-3rd-match-335984/full-scorecard
16,Delhi Daredevils,Farveez Maharoof,4,0,11,2,2.75,13,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-rajasthan-royals-3rd-match-335984/full-scorecard
17,Delhi Daredevils,Rajat Bhatia,4,0,17,2,4.25,13,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-rajasthan-royals-3rd-match-335984/full-scorecard
18,Delhi Daredevils,Daniel Vettori,4,0,35,1,8.75,8,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-rajasthan-royals-3rd-match-335984/full-scorecard
19,Kolkata Knight Riders,Ashok Dinda,3,0,18,1,6,9,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kolkata-knight-riders-vs-deccan-chargers-4th-match-335986/full-scorecard
20,Kolkata Knight Riders,Ishant Sharma,3,1,9,1,3,13,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kolkata-knight-riders-vs-deccan-chargers-4th-match-335986/full-scorecard
21,Kolkata Knight Riders,Ajit Agarkar,2,0,19,2,9.5,6,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kolkata-knight-riders-vs-deccan-chargers-4th-match-335986/full-scorecard
22,Kolkata Knight Riders,Murali Kartik,3.4,0,17,3,4.63,14,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kolkata-knight-riders-vs-deccan-chargers-4th-match-335986/full-scorecard
23,Kolkata Knight Riders,Mohammad Hafeez,4,0,8,1,2,17,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kolkata-knight-riders-vs-deccan-chargers-4th-match-335986/full-scorecard
24,Kolkata Knight Riders,David Hussey,3,0,35,1,11.66,7,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kolkata-knight-riders-vs-deccan-chargers-4th-match-335986/full-scorecard
25,Royal Challengers Bangalore,Praveen Kumar,4,0,29,1,7.25,11,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/mumbai-indians-vs-royal-challengers-bangalore-5th-match-335985/full-scorecard
26,Royal Challengers Bangalore,Zaheer Khan,4,0,17,2,4.25,14,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/mumbai-indians-vs-royal-challengers-bangalore-5th-match-335985/full-scorecard
27,Royal Challengers Bangalore,Jacques Kallis,3,0,43,0,14.33,3,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/mumbai-indians-vs-royal-challengers-bangalore-5th-match-335985/full-scorecard
28,Royal Challengers Bangalore,Vinay Kumar,4,0,41,0,10.25,9,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/mumbai-indians-vs-royal-challengers-bangalore-5th-match-335985/full-scorecard
29,Royal Challengers Bangalore,Balachandra Akhil,3,0,17,2,5.66,8,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/mumbai-indians-vs-royal-challengers-bangalore-5th-match-335985/full-scorecard
30,Royal Challengers Bangalore,Sunil Joshi,2,0,10,0,5,5,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/mumbai-indians-vs-royal-challengers-bangalore-5th-match-335985/full-scorecard
31,Rajasthan Royals,Munaf Patel,4,0,36,1,9,12,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-kings-xi-punjab-6th-match-335987/full-scorecard
32,Rajasthan Royals,Shane Watson,4,0,39,0,9.75,12,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-kings-xi-punjab-6th-match-335987/full-scorecard
33,Rajasthan Royals,Siddharth Trivedi,4,0,25,2,6.25,12,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-kings-xi-punjab-6th-match-335987/full-scorecard
34,Rajasthan Royals,Shane Warne,4,0,19,3,4.75,11,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-kings-xi-punjab-6th-match-335987/full-scorecard
35,Rajasthan Royals,Dinesh Salunkhe,2,0,21,1,10.5,5,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-kings-xi-punjab-6th-match-335987/full-scorecard
