Date,Match_Number,City,TeamName_BattingFirst,Team_BattingFirstScore,TeamName_BattingSecond,Team_BattingSecondScore,Match_Result,Winning_team,scoreboard_url
"Fri, 18 Apr 2008",1st Match ,Bengaluru,Kolkata Knight Riders,222/3,Royal Challengers Bangalore,82,KKR won by 140 runs,Kolkata Knight Riders,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
"Sat, 19 Apr 2008",2nd Match ,Mohali,Chennai Super Kings,240/5,Kings XI Punjab,207/4,Super Kings won by 33 runs,Chennai Super Kings,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
"Sat, 19 Apr 2008",3rd Match ,Delhi,Rajasthan Royals,129/8,Delhi Daredevils,132/1,Daredevils won by 9 wickets (with 29 balls remaining),Delhi Daredevils,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-rajasthan-royals-3rd-match-335984/full-scorecard
"Sun, 20 Apr 2008",4th Match ,Eden Gardens,Deccan Chargers,110,Kolkata Knight Riders,112/5,KKR won by 5 wickets (with 6 balls remaining),Kolkata Knight Riders,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kolkata-knight-riders-vs-deccan-chargers-4th-match-335986/full-scorecard
"Sun, 20 Apr 2008",5th Match ,Wankhede,Mumbai Indians,165/6,Royal Challengers Bangalore,166/5,RCB won by 5 wickets (with 2 balls remaining),Royal Challengers Bangalore,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/mumbai-indians-vs-royal-challengers-bangalore-5th-match-335985/full-scorecard
"Mon, 21 Apr 2008",6th Match ,Jaipur,Kings XI Punjab,166/8,Rajasthan Royals,168/4,Royals won by 6 wickets (with 11 balls remaining),Rajasthan Royals,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-kings-xi-punjab-6th-match-335987/full-scorecard
"Tue, 22 Apr 2008",7th Match ,Hyderabad,Deccan Chargers,142/8,Delhi Daredevils,143/1,Daredevils won by 9 wickets (with 42 balls remaining),Delhi Daredevils,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/deccan-chargers-vs-delhi-daredevils-7th-match-335988/full-scorecard
"Wed, 23 Apr 2008",8th Match ,Chennai,Chennai Super Kings,208/5,Mumbai Indians,202/7,Super Kings won by 6 runs,Chennai Super Kings,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/chennai-super-kings-vs-mumbai-indians-8th-match-335989/full-scorecard
"Thu, 24 Apr 2008",9th Match ,Hyderabad,Deccan Chargers,214/5,Rajasthan Royals,217/7,Royals won by 3 wickets (with 1 ball remaining),Rajasthan Royals,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/deccan-chargers-vs-rajasthan-royals-9th-match-335990/full-scorecard
"Fri, 25 Apr 2008",10th Match ,Mohali,Kings XI Punjab,182,Mumbai Indians,116/9,Kings XI won by 66 runs,Kings XI Punjab,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-mumbai-indians-10th-match-335991/full-scorecard
"Sat, 26 Apr 2008",11th Match ,Chennai,Kolkata Knight Riders,147/9,Chennai Super Kings,152/1,Super Kings won by 9 wickets (with 18 balls remaining),Chennai Super Kings,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/chennai-super-kings-vs-kolkata-knight-riders-11th-match-335993/full-scorecard
"Sat, 26 Apr 2008",12th Match ,Bengaluru,Royal Challengers Bangalore,135/8,Rajasthan Royals,138/3,Royals won by 7 wickets (with 17 balls remaining),Rajasthan Royals,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-rajasthan-royals-12th-match-335992/full-scorecard
"Sun, 27 Apr 2008",13th Match ,Mohali,Delhi Daredevils,158/8,Kings XI Punjab,162/6,Kings XI won by 4 wickets (with 3 balls remaining),Kings XI Punjab,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-delhi-daredevils-13th-match-335995/full-scorecard
