Scoreboard_ID,TeamName,BatsmanName,Wicket_Information,Outby_BowlerCatch,Outby_FielderCatch,Outby_Bowled,Outby_LBW,Outby_Runout,Player_RetiredHurt,Player_NotOut,Runs_Scored,Balls_Faced,Fours_hit,Sixes_hit,Strike_Rate,Season/Year,scoreboard_url
1,Royal Challengers Bangalore,Rahul Dravid,b Sharma,,,1,,,,,2,3,0,0,66.66,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
2,Royal Challengers Bangalore,Wasim Jaffer,c Ponting b Dinda,,1,,,,,,6,16,0,0,37.5,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
3,Royal Challengers Bangalore,Virat Kohli,b Dinda,,,1,,,,,1,5,0,0,20,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
4,Royal Challengers Bangalore,Jacques Kallis,c Kartik b Agarkar,,1,,,,,,8,7,0,1,114.28,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
5,Royal Challengers Bangalore,Cameron White,c Saha b Agarkar,,1,,,,,,6,10,0,0,60,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
6,Royal Challengers Bangalore,Mark Boucher  ,c Kartik b Ganguly,,1,,,,,,7,9,1,0,77.77,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
7,Royal Challengers Bangalore,Balachandra Akhil,c Ponting b Agarkar,,1,,,,,,0,2,0,0,0,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
8,Royal Challengers Bangalore,Ashley Noffke,run out (Agarkar/Saha),,,,,1,,,9,10,1,0,90,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
9,Royal Challengers Bangalore,Praveen Kumar,not out,,,,,,,1,18,15,1,2,120,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
10,Royal Challengers Bangalore,Zaheer Khan,b Ganguly,,,1,,,,,3,8,0,0,37.5,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
11,Royal Challengers Bangalore,Sunil Joshi,c  McCullum b Shukla,,1,,,,,,3,6,0,0,50,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
12,Kings XI Punjab,Karan Goel,c Patel b Gony,,1,,,,,,24,19,2,1,126.31,2007-08,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
