scoreboard_id,team_name,bowler_names,overs_bowled,maiden_oversbowled,runs_given,wickets_taken,Economy,dotballs,scoreboard_url
1,Kolkata Knight Riders,Ashok Dinda,3,0,9,2,3,11,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
2,Kolkata Knight Riders,Ishant Sharma,3,0,7,1,2.33,13,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
3,Kolkata Knight Riders,Ajit Agarkar,4,0,25,3,6.25,15,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
4,Kolkata Knight Riders,Sourav Ganguly,4,0,21,2,5.25,13,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
5,Kolkata Knight Riders,Laxmi Shukla,1.1,0,12,1,10.28,3,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-335982/full-scorecard
6,Chennai Super Kings,Jacob Oram,4,0,37,0,9.25,6,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
7,Chennai Super Kings,Manpreet Gony,4,0,42,1,10.5,7,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
8,Chennai Super Kings,Muthiah Muralidaran,4,0,33,1,8.25,7,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
9,Chennai Super Kings,Palani  Amarnath,4,0,42,1,10.5,4,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
10,Chennai Super Kings,Joginder Sharma,4,0,47,1,11.75,5,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-chennai-super-kings-2nd-match-335983/full-scorecard
11,Rajasthan Royals,Munaf Patel,3,0,25,0,8.33,10,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-rajasthan-royals-3rd-match-335984/full-scorecard
12,Rajasthan Royals,Shane Watson,4,0,31,1,7.75,9,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-rajasthan-royals-3rd-match-335984/full-scorecard
13,Rajasthan Royals,Siddharth Trivedi,3,0,32,0,10.66,6,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-rajasthan-royals-3rd-match-335984/full-scorecard
